hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
10eac59a20ab8b94d22d75557b22c364,battleship-24-57-sat.cnf,sat,sat,35.647,3.704,0.668,3.587,1.298,15.578
10faafc5aaf72ba900b723ba97500c74,001.cnf,sat,sat,1168.165,212.13,1011.836,260.653,143.029,10000.0
1113541da043983ac674e70d62f3aab6,008.cnf,sat,sat,10000.0,991.024,1330.567,358.928,492.227,2159.258
1120bee8e16a37c21c4a7aed604514ae,sgp_5-6-8.shuffled-as.sat05-2669.cnf,sat,sat,1001.099,1114.102,58.419,441.643,1833.575,1139.449
115fa7f61704bc12b2373aa471bc434f,Circuit_multiplier24.cnf,sat,sat,273.781,10000.0,121.491,2301.064,1031.082,286.263
1167631ff8146da4f3f29b2a4615e5e2,289-sat-6x20.cnf,sat,sat,0.487,2.957,0.667,0.12,1.847,1.469
1169b7c01112d97a6835d259052284ba,driverlog3_v01a.shuffled-as.sat05-4030.cnf,sat,sat,0.577,0.712,0.666,0.044,1.432,1.453
116bb79175195fb4f9440086fb9bd61c,mp1-22.1.cnf,sat,sat,1710.848,10000.0,1020.334,787.654,2139.491,677.554
117d518680560927b156f4603dc6bbed,cache_10.shuffled.cnf,sat,sat,130.098,122.69,16.987,5.521,20.341,128.259
118415e2696075a8a1c5720c1838f1a7,srhd-sgi-m32-q369.75-n30-p30-s25693430.cnf,sat,sat,12.628,52.675,815.754,1.332,2.677,10000.0
11ba9953b9ae8475f05de36bfd6ec21f,3col80_5_4.shuffled.cnf,sat,sat,0.795,0.247,0.767,0.049,1.87,3.45
11cc29a1a68a2c47dcf1dce5bf214af2,64bits_11.dimacs.cnf,unknown,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
